name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Philodendron White Knight,philodendron-white-knight-small,485,7,indoor-plants,"Philodendron White Knight is a highly sought-after Aroid with stunning white variegation against dark green, almost black, leaves. Its upright growth habit and unique coloration make it a captivating addition to any rare plant collection.",Highly sought-after Aroid with stunning white variegation,,PH-008,ADVANCED,BRIGHT,WEEKLY,false,SMALL,MODERATE,Requires bright indirect light to maintain variegation. High humidity is beneficial.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Anthurium Crystallinum,anthurium-crystallinum-small,325,10,indoor-plants,"Anthurium Crystallinum is a breathtaking Aroid known for its large, velvety, heart-shaped leaves with prominent, shimmering silver veins that look like etched crystals. It's a stunning specimen for collectors who can provide high humidity.",Breathtaking Aroid with velvety leaves and shimmering silver veins,,ANT-001,ADVANCED,MEDIUM,WEEKLY,false,SMALL,MODERATE,Requires high humidity and bright indirect light. Keep soil consistently moist but not waterlogged.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Alocasia Frydek,alocasia-frydek-small,225,12,indoor-plants,"Alocasia Frydek, also known as Green Velvet Alocasia, is a stunning plant with deeply lobed, velvety dark green leaves contrasted by bright, silvery-white veins. It's a true showstopper for its dramatic foliage.",Stunning plant with deeply lobed, velvety dark green leaves and silvery veins,,ALO-001,ADVANCED,BRIGHT,WEEKLY,false,SMALL,MODERATE,Prefers high humidity and consistently moist soil. Mist regularly.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Calathea White Fusion,calathea-white-fusion-small,245,10,indoor-plants,"Calathea White Fusion is a visually striking prayer plant with incredible variegation featuring splashes of white and light green on its dark green leaves, with purple undersides. It's a humidity-loving plant that makes a bold statement.",Visually striking prayer plant with incredible white and green variegation,,CAL-001,ADVANCED,MEDIUM,WEEKLY,false,SMALL,MODERATE,Requires high humidity and consistent moisture. Avoid direct sunlight which can scorch leaves.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Variegated String of Hearts,variegated-string-of-hearts-small,175,15,indoor-plants,"Variegated String of Hearts (Ceropegia woodii 'Variegata') is a charming trailing succulent featuring delicate, heart-shaped leaves with beautiful pink, cream, and green variegation. Perfect for hanging baskets, its colors intensify with bright light.",Charming trailing succulent with delicate, pink, cream, and green heart-shaped leaves,,SOH-002,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Bright light enhances variegation. Allow soil to dry completely between waterings.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Hoya Carnosa Variegata,hoya-carnosa-variegata-small,195,12,indoor-plants,"Hoya Carnosa 'Krimson Queen' or 'Tricolor' (Hoya carnosa variegata) is a beautiful trailing succulent vine with thick, waxy leaves edged in pink and cream, especially in bright light. It's easy to care for and produces fragrant, star-shaped flowers.",Beautiful trailing succulent vine with thick, waxy leaves edged in pink and cream,,HOY-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Prefers bright indirect light and well-draining soil. Allow soil to dry between waterings.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Tillandsia Assorted,tillandsia-assorted-small,45,50,indoor-plants,"Tillandsias, commonly known as Air Plants, are unique epiphytes that absorb nutrients from the air, requiring no soil. Available in various shapes and sizes, they are perfect for creative displays and require minimal misting and occasional soaking.",Unique epiphytes that require no soil and absorb nutrients from the air,,TIL-001,MODERATE,MEDIUM,BI_WEEKLY,true,SMALL,SLOW,Mist regularly and soak once a week. Provide good air circulation.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Boston Fern,boston-fern-medium-hanging,120,20,indoor-plants,"The Boston Fern (Nephrolepis exaltata 'Bostoniensis') is a classic, lush fern with graceful, arching fronds, perfect for adding a touch of natural elegance to any room. It thrives in high humidity and bright, indirect light.",Classic, lush fern with graceful, arching fronds for natural elegance,,BOS-001,MODERATE,MEDIUM,WEEKLY,true,MEDIUM,MODERATE,Requires high humidity and consistently moist soil. Mist regularly.,false,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Staghorn Fern,staghorn-fern-medium-mounted,225,10,indoor-plants,"The Staghorn Fern (Platycerium) is an extraordinary epiphytic fern known for its unique, antler-like fronds. Often mounted on boards or bark, it makes a striking living art piece, preferring high humidity and indirect light.",Extraordinary epiphytic fern with unique, antler-like fronds,,STG-001,ADVANCED,MEDIUM,BI_WEEKLY,false,MEDIUM,MODERATE,Mist regularly and soak the mount occasionally. Requires good air circulation.,true,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Phalaenopsis Orchid,phalaenopsis-orchid-small,155,15,indoor-plants,"The Phalaenopsis Orchid, or Moth Orchid, is one of the most popular and elegant orchids, known for its long-lasting, graceful blooms. Relatively easy to care for, it brings exotic beauty and vibrant color to any indoor space.",Elegant orchid with long-lasting, graceful blooms,,ORC-001,ADVANCED,BRIGHT,WEEKLY,false,SMALL,SLOW,Prefers bright indirect light and good air circulation. Water when media is dry, avoiding crown.,true,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Bromeliad Guzmania,bromeliad-guzmania-small,110,20,indoor-plants,"The Guzmania Bromeliad is a vibrant, easy-care plant known for its colorful flower bracts that emerge from a rosette of green leaves. It brings an instant tropical pop of color, lasting for months, and is perfect for adding cheer.",Vibrant, easy-care plant with colorful, long-lasting flower bracts,,BRO-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Keep the central cup filled with water. Prefers bright, indirect light.,false,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Aloe Vera,aloe-vera,65,40,succulents,"Aloe Vera is famous for its medicinal properties and ease of care. This succulent produces healing gel in its thick leaves and is perfect for sunny spots. Virtually indestructible once established.",Famous medicinal succulent with healing gel,,AV-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Well-draining soil essential. Water deeply but infrequently.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Aloe Vera Medium,aloe-vera-medium,105,25,succulents,"Medium Aloe Vera plant perfect for medicinal use. This size provides plenty of gel for first aid while being easy to manage. The thick succulent leaves store water making it extremely drought-tolerant.",Medium Aloe Vera perfect for medicinal use,,AV-002,EASY,DIRECT_SUN,MONTHLY,false,MEDIUM,SLOW,Harvest outer leaves for gel. Extremely drought tolerant.,false,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Jade Plant,jade-plant,55,35,succulents,"The Jade Plant (Crassula ovata) is considered a symbol of good luck and prosperity. This easy-care succulent develops thick stems and glossy leaves, eventually becoming a miniature tree. Perfect for beginners.",Lucky plant that develops into miniature tree,,JP-001,EASY,BRIGHT,MONTHLY,false,SMALL,SLOW,Water when soil is completely dry. Can go weeks without water.,true,true,https://images.unsplash.com/photo-1461301214746-1e109215d6d3
Jade Plant Medium,jade-plant-medium,95,20,succulents,"Medium Jade Plant showing developed structure. This size demonstrates the plant's tree-like growth habit with thick stems and branches. A living sculpture that improves with age.",Medium Jade Plant with tree-like structure,,JP-002,EASY,BRIGHT,MONTHLY,false,MEDIUM,SLOW,Ancient plants can survive months without water. Very low maintenance.,false,true,https://images.unsplash.com/photo-1461301214746-1e109215d6d3
Echeveria Mixed,echeveria-mixed,50,45,succulents,"Beautiful rosette-forming Echeveria in various colors including pink, purple, and blue-green. These compact succulents are perfect for arrangements and container gardens. Low-maintenance and drought-tolerant.",Colorful rosette succulents perfect for arrangements,,ECH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright light maintains colors. Water at soil level to avoid leaf rot.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Haworthia,haworthia,60,30,succulents,"Haworthia species form attractive small rosettes with interesting textures and patterns. These compact succulents are perfect for bright windowsills and require minimal care. Many varieties available.",Small rosette succulents with interesting patterns,,HAW-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright indirect light preferred. Water sparingly in winter.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Pearls,string-of-pearls,75,25,succulents,"String of Pearls (Senecio rowleyanus) produces cascading stems of bead-like leaves. This unique trailing succulent is perfect for hanging baskets and adds interesting texture to succulent displays.",Cascading succulent with bead-like leaves,,SOP-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Hanging display preferred. Allow soil to dry completely between waterings.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Hearts,string-of-hearts,85,20,succulents,"String of Hearts (Ceropegia woodii) features heart-shaped leaves on trailing stems. This charming succulent is perfect for hanging displays and is surprisingly easy to propagate from cuttings.",Heart-shaped leaves on trailing stems,,SOH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Bright light enhances pink coloration. Tubers form along stems.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Barrel Cactus,barrel-cactus,65,25,succulents,"The classic Barrel Cactus (Echinocactus) forms a perfect sphere covered in prominent spines. This slow-growing cactus requires minimal care and adds architectural interest to succulent collections.",Classic spherical cactus with prominent spines,,BC-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Full sun essential. Water very sparingly in winter.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Prickly Pear,prickly-pear,55,30,succulents,"Prickly Pear Cactus (Opuntia) forms flat paddle-shaped segments and produces colorful flowers. This hardy cactus is extremely drought-tolerant and perfect for xeriscaping.",Hardy cactus with flat paddle segments,,PP-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,MODERATE,Extremely drought tolerant. Handle with care due to spines.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Christmas Cactus,christmas-cactus,75,20,succulents,"Christmas Cactus (Schlumbergera) produces beautiful flowers in winter. Unlike desert cacti, this forest cactus prefers some humidity and indirect light. Perfect for holiday decorating.",Winter-flowering cactus perfect for holidays,,CC-001,EASY,MEDIUM,WEEKLY,false,SMALL,SLOW,Unlike desert cacti - prefers humidity and regular watering.,true,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Moon Cactus,moon-cactus-small,60,25,succulents,"The Moon Cactus (Gymnocalycium mihanovichii) is a vibrant, graft-grafted cactus, featuring a colorful top (the Gymnocalycium) that lacks chlorophyll and relies on the green base (often a Hylocereus) for nutrients. It's a striking, compact addition to any succulent collection.",Vibrant, graft-grafted cactus with a colorful top,,MC-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Requires bright indirect light. Water sparingly, allowing soil to dry completely.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Bunny Ears Cactus,bunny-ears-cactus-small,65,25,succulents,"The Bunny Ears Cactus (Opuntia microdasys) is a whimsical and popular cactus with flattened, oval pads covered in small, hair-like glochids, resembling bunny ears. It's easy to care for and perfect for adding a playful touch to your succulent collection.",Whimsical cactus with flattened, oval pads resembling bunny ears,,BEC-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Prefers full sun and well-draining soil. Handle with care due to glochids.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Gasteria Ox Tongue,gasteria-ox-tongue,75,25,succulents,"Gasteria (Ox Tongue) is a South African indigenous succulent with thick, tongue-shaped leaves marked with white spots. Very hardy and perfect for shaded succulent gardens.",South African indigenous succulent for shade,,GT-001,EASY,MEDIUM,MONTHLY,false,SMALL,SLOW,Tolerates more shade than most succulents. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Cotyledon orbiculata,cotyledon-orbiculata-small,65,25,succulents,"Cotyledon orbiculata, commonly known as Pig's Ear, is a striking South African succulent with fleshy, often red-tipped, paddle-shaped leaves. It's highly drought-tolerant and perfect for rock gardens or sunny spots.",Striking South African succulent with fleshy, paddle-shaped leaves,,COT-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Requires full sun and excellent drainage. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Crassula perforata,crassula-perforata-small,55,30,succulents,"Crassula perforata, known as String of Buttons or Necklace Vine, is a charming stacking succulent with triangular, disc-like leaves that grow in opposing pairs along the stem, creating an interesting geometric pattern. Easy to care for and great for containers.",Charming stacking succulent with triangular, disc-like leaves,,CRA-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Prefers bright indirect to full sun. Allow soil to dry completely between waterings.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Portulacaria afra,portulacaria-afra-small,50,35,succulents,"Portulacaria afra, or Dwarf Jade, is a resilient and attractive succulent with small, round, fleshy leaves and reddish stems, resembling a miniature tree. It's drought-tolerant, easy to care for, and excellent for bonsai.",Resilient succulent with small, round, fleshy leaves and reddish stems,,POR-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,MODERATE,Thrives in full sun and well-draining soil. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1523275335684-37898b6baf30
Tylecodon paniculatus,tylecodon-paniculatus-small,85,20,succulents,"Tylecodon paniculatus, also known as the Butter Tree, is a unique South African succulent with a thick, swollen trunk and deciduous leaves that appear in winter, followed by striking yellow-orange flowers. A fascinating specimen for succulent collectors.",Unique South African succulent with a thick, swollen trunk,,TYL-001,MODERATE,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Requires full sun and excellent drainage. Water sparingly, mainly in winter growing season.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Lithops Living Stones,lithops-living-stones,105,15,succulents,"Lithops (Living Stones) are fascinating succulents that mimic stones. These unique plants flower annually and require special care with distinct dry and growing seasons. Perfect for succulent enthusiasts.",Fascinating stone-mimicking succulents,,LIT-001,ADVANCED,BRIGHT,MONTHLY,false,SMALL,SLOW,Complex watering cycle. Dry period essential for survival.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Variegated Jade,variegated-jade-small,135,15,succulents,"Variegated Jade (Crassula ovata 'Variegata') is a stunning succulent that combines the classic appeal of the Jade Plant with beautiful cream and pink variegation on its glossy green leaves. It's an eye-catching, easy-care plant.",Stunning succulent with cream and pink variegation on glossy green leaves,,JP-003,EASY,BRIGHT,MONTHLY,false,SMALL,SLOW,Bright light enhances variegation. Water when soil is completely dry.,true,true,https://images.unsplash.com/photo-1461301214746-1e109215d6d3
Blue Chalksticks,blue-chalksticks-small,75,25,succulents,"Blue Chalksticks (Senecio serpens) is a unique succulent with slender, cylindrical, powdery blue-green leaves that resemble chalk sticks. It forms a dense, low-growing mat, perfect for ground cover, rockeries, or containers.",Unique succulent with slender, powdery blue-green leaves,,SNC-001,EASY,DIRECT_SUN,BI_WEEKLY,false,SMALL,MODERATE,Requires full sun and well-draining soil. Drought tolerant.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Burros Tail,burros-tail-medium,115,18,succulents,"Burro's Tail (Sedum morganianum) is a charming trailing succulent with long, cascading stems densely covered in plump, tear-drop shaped, blue-green leaves. Perfect for hanging baskets, it creates a lush, textural display.",Charming trailing succulent with long, cascading stems of plump, tear-drop shaped leaves,,SED-001,MODERATE,BRIGHT,BI_WEEKLY,false,MEDIUM,MODERATE,Requires bright indirect to full sun. Allow soil to dry completely between waterings. Handle carefully to prevent leaf drop.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Rare Echeveria Hybrids,rare-echeveria-hybrids-small,145,10,succulents,"Discover unique beauty with our rare Echeveria hybrids, featuring exquisite forms and stunning color variations not found in common varieties. These collector's succulents are perfect for enthusiasts seeking unusual and captivating additions to their collection.",Unique and captivating Echeveria hybrids with exquisite forms and stunning colors,,ECH-002,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright light maintains colors. Water carefully at soil level to prevent rot.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Ceramic Pot Small,ceramic-pot-small,65,50,accessories,"Small ceramic pot perfect for desk plants and small spaces. Features drainage hole and saucer. Available in neutral colors that complement any décor. Durable ceramic construction ensures long-lasting use.",Small ceramic pot with drainage hole,,CP-001,,,,,,,High-quality ceramic construction with proper drainage.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Medium,ceramic-pot-medium,85,40,accessories,"Medium ceramic pot ideal for most houseplants. Features modern design with drainage system. Perfect size for statement plants while fitting on most surfaces. Quality glazed finish resists fading.",Medium ceramic pot for houseplants,,CP-002,,,,,,,Includes saucer for surface protection.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Large,ceramic-pot-large,115,25,accessories,"Large ceramic pot for floor plants and statement pieces. Premium glazed finish with excellent drainage. Perfect for larger plants like Monsteras and Fiddle Leaf Figs. Heavy-duty construction.",Large ceramic pot for floor plants,,CP-003,,,,,,,Premium quality with excellent drainage system.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Designer Small,ceramic-pot-designer-small,115,30,accessories,"Small designer ceramic pot, handcrafted with unique glazes and artistic finishes. Perfect for elevating your most prized plants into decorative statements. Features proper drainage.",Handcrafted designer ceramic pot for prized plants,,CP-004,,,,,,,Unique glazes and artistic finishes. Proper drainage.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Designer Medium,ceramic-pot-designer-medium,215,20,accessories,"Medium designer ceramic pot, a true piece of art for your home. Features contemporary designs and high-quality finishes, perfect for aspirational houseplants. Includes drainage and saucer.",Artistic medium designer ceramic pot for aspirational plants,,CP-005,,,,,,,Contemporary designs and high-quality finishes.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Terracotta Pot Small,terracotta-pot-small,40,60,accessories,"Classic terracotta pot perfect for herbs and small plants. Natural clay material provides excellent drainage and breathability. Traditional style that never goes out of fashion. Ideal for Mediterranean plants.",Classic terracotta pot for herbs,,TP-001,,,,,,,Natural clay promotes healthy root growth.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Terracotta Pot Medium,terracotta-pot-medium,60,45,accessories,"Medium terracotta pot with natural clay finish. Excellent for plants that prefer well-draining soil. Weather-resistant and suitable for indoor or outdoor use. Timeless design complements any garden style.",Medium terracotta pot for indoor/outdoor use,,TP-002,,,,,,,Weather-resistant natural clay construction.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Terracotta Pot Large,terracotta-pot-large,85,30,accessories,"Large terracotta pot for substantial plants. Natural clay construction with excellent drainage properties. Perfect for outdoor herb gardens or large indoor plants. Develops beautiful patina over time.",Large terracotta pot for substantial plants,,TP-003,,,,,,,Develops natural patina with age and use.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Hanging Macrame Planter,hanging-macrame-planter,85,35,accessories,"Handcrafted macrame plant hanger perfect for trailing plants. Made from natural cotton rope with adjustable length. Adds bohemian style to any space while showcasing your plants beautifully.",Handcrafted macrame plant hanger,,MP-001,,,,,,,Natural cotton rope with adjustable hanging length.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Self-Watering Pot Medium,self-watering-pot-medium,165,20,accessories,"Innovative self-watering pot with built-in reservoir. Perfect for busy plant parents or frequent travelers. Water indicator shows when refilling is needed. Maintains optimal moisture levels automatically.",Self-watering pot with reservoir system,,SW-001,,,,,,,Built-in water level indicator for easy monitoring.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Self-Watering Pot Large,self-watering-pot-large,235,15,accessories,"Large self-watering pot for bigger plants. Advanced water reservoir system ensures consistent moisture. Ideal for thirsty plants or when you're away. Modern design complements contemporary interiors.",Large self-watering pot for bigger plants,,SW-002,,,,,,,Advanced reservoir system for consistent moisture.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Decorative Basket Small,decorative-basket-small,115,30,accessories,"Natural woven basket perfect for plant displays. Water-resistant liner protects surfaces. Adds texture and warmth to any room. Versatile design works with various plant sizes and décor styles.",Natural woven basket with water-resistant liner,,DB-001,,,,,,,Water-resistant liner protects furniture surfaces.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Decorative Basket Large,decorative-basket-large,185,20,accessories,"Large decorative basket for floor plants. Handwoven natural materials with protective liner. Perfect for hiding plastic pots while adding organic texture. Sustainable and eco-friendly choice.",Large decorative basket for floor plants,,DB-002,,,,,,,Handwoven from sustainable natural materials.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Potting Soil Premium,potting-soil-premium,65,100,accessories,"Premium potting mix formulated for indoor plants. Contains perlite for drainage and organic matter for nutrition. Sterile and pest-free. Perfect pH balance for most houseplants. 5L bag provides excellent value.",Premium indoor plant potting mix - 5L,,PS-001,,,,,,,Sterile and pest-free with perfect pH balance.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Succulent Soil Mix,succulent-soil-mix,75,80,accessories,"Specialized soil mix for succulents and cacti. Fast-draining formula prevents root rot. Contains sand and perlite for optimal drainage. Pre-mixed and ready to use. Essential for succulent health.",Fast-draining succulent and cacti soil mix - 5L,,SS-001,,,,,,,Fast-draining formula prevents root rot in succulents.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Liquid Fertilizer,liquid-fertilizer,85,60,accessories,"Balanced liquid fertilizer for all houseplants. Easy-to-use formula promotes healthy growth and vibrant foliage. Dilute with water for monthly feeding. Suitable for all plant types. 500ml bottle.",Balanced liquid plant fertilizer - 500ml,,LF-001,,,,,,,Promotes healthy growth and vibrant foliage color.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Growth Hormone,growth-hormone,115,40,accessories,"Rooting hormone for plant propagation. Encourages faster root development in cuttings. Perfect for expanding your plant collection. Professional-grade formula used by nurseries. 100ml bottle.",Rooting hormone for plant propagation - 100ml,,GH-001,,,,,,,Professional-grade formula for faster root development.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Neem Oil Organic,neem-oil-organic,95,50,accessories,"Organic neem oil for natural pest control. Safe for indoor use and effective against common plant pests. Concentrated formula - dilute before use. Chemical-free alternative for plant health. 250ml bottle.",Organic neem oil pest control - 250ml,,NO-001,,,,,,,Chemical-free natural pest control solution.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Plant Food Sticks,plant-food-sticks,55,70,accessories,"Convenient plant food sticks for easy feeding. Slow-release formula provides nutrients for up to 8 weeks. Simply insert into soil near roots. Perfect for busy plant parents. Pack of 10 sticks.",Slow-release plant food sticks - Pack of 10,,PFS-001,,,,,,,Slow-release formula feeds plants for up to 8 weeks.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Copper Watering Can,copper-watering-can,115,25,accessories,"Elegant copper watering can with 1L capacity. Beautiful patina finish that develops character over time. Comfortable handle and perfect spout for precise watering. Functional art for plant lovers.",Elegant copper watering can - 1L capacity,,CWC-001,,,,,,,Beautiful patina finish develops character over time.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Steel Watering Can,steel-watering-can,135,20,accessories,"Durable steel watering can with powder-coated finish. Rust-resistant and long-lasting. Ergonomic design with comfortable grip. Fine-nose spout for gentle watering. Professional quality for serious gardeners.",Durable steel watering can with powder coating,,SWC-001,,,,,,,Rust-resistant with ergonomic comfortable grip design.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Pruning Shears Professional,pruning-shears-professional,135,30,accessories,"Professional-grade pruning shears with sharp stainless steel blades. Comfortable ergonomic handles reduce hand fatigue. Perfect for precise cuts on stems up to 2cm diameter. Essential tool for plant care.",Professional pruning shears with stainless steel blades,,PSP-001,,,,,,,Sharp stainless steel blades for precise clean cuts.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Brass,plant-mister-brass,85,40,accessories,"Elegant brass plant mister for humidity-loving plants. Fine mist spray perfect for tropical plants and air plants. Stylish addition to your plant care routine. Easy-squeeze trigger mechanism.",Elegant brass plant mister for humidity,,PMB-001,,,,,,,Fine mist spray ideal for tropical and air plants.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Copper,plant-mister-copper,95,35,accessories,"Beautiful copper plant mister with vintage appeal. Creates fine mist for leaf cleaning and humidity. Develops natural patina over time. Perfect for orchids, ferns, and tropical plants.",Beautiful copper plant mister with vintage appeal,,PMC-001,,,,,,,Develops natural patina and creates perfect fine mist.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Soil Moisture Meter,soil-moisture-meter,155,25,accessories,"Digital soil moisture meter for accurate watering. Takes guesswork out of plant care. Easy-to-read LCD display shows moisture levels. Battery-powered with auto-shutoff. Essential for plant health.",Digital soil moisture meter with LCD display,,SMM-001,,,,,,,Accurate digital readings eliminate watering guesswork.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
LED Grow Light,led-grow-light,485,15,accessories,"Full-spectrum LED grow light for indoor plants. Energy-efficient and long-lasting. Adjustable height and brightness settings. Perfect for low-light areas or supplemental lighting. Promotes healthy growth year-round.",Full-spectrum LED grow light for indoor plants,,LGL-001,,,,,,,Energy-efficient with adjustable height and brightness settings.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Bamboo Plant Stakes,bamboo-plant-stakes,45,80,accessories,"Natural bamboo plant stakes for supporting tall plants. Set of 5 stakes in various lengths. Eco-friendly and biodegradable. Perfect for training climbing plants or supporting heavy stems.","Natural bamboo plant stakes - Set of 5",,BPS-001,,,,,,"Eco-friendly biodegradable support for climbing plants.",false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
