name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Copper Watering Can,copper-watering-can,115,25,Accessories,"Elegant copper watering can with 1L capacity. Beautiful patina finish that develops character over time. Comfortable handle and perfect spout for precise watering. Functional art for plant lovers.",Elegant copper watering can - 1L capacity,,CWC-001,,,,,,,Beautiful patina finish develops character over time.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Steel Watering Can,steel-watering-can,135,20,Accessories,"Durable steel watering can with powder-coated finish. Rust-resistant and long-lasting. Ergonomic design with comfortable grip. Fine-nose spout for gentle watering. Professional quality for serious gardeners.",Durable steel watering can with powder coating,,SWC-001,,,,,,,Rust-resistant with ergonomic comfortable grip design.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Pruning Shears Professional,pruning-shears-professional,135,30,Accessories,"Professional-grade pruning shears with sharp stainless steel blades. Comfortable ergonomic handles reduce hand fatigue. Perfect for precise cuts on stems up to 2cm diameter. Essential tool for plant care.",Professional pruning shears with stainless steel blades,,PSP-001,,,,,,,Sharp stainless steel blades for precise clean cuts.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Brass,plant-mister-brass,85,40,Accessories,"Elegant brass plant mister for humidity-loving plants. Fine mist spray perfect for tropical plants and air plants. Stylish addition to your plant care routine. Easy-squeeze trigger mechanism.",Elegant brass plant mister for humidity,,PMB-001,,,,,,,Fine mist spray ideal for tropical and air plants.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Copper,plant-mister-copper,95,35,Accessories,"Beautiful copper plant mister with vintage appeal. Creates fine mist for leaf cleaning and humidity. Develops natural patina over time. Perfect for orchids, ferns, and tropical plants.",Beautiful copper plant mister with vintage appeal,,PMC-001,,,,,,,Develops natural patina and creates perfect fine mist.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Soil Moisture Meter,soil-moisture-meter,155,25,Accessories,"Digital soil moisture meter for accurate watering. Takes guesswork out of plant care. Easy-to-read LCD display shows moisture levels. Battery-powered with auto-shutoff. Essential for plant health.",Digital soil moisture meter with LCD display,,SMM-001,,,,,,,Accurate digital readings eliminate watering guesswork.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
LED Grow Light,led-grow-light,485,15,Accessories,"Full-spectrum LED grow light for indoor plants. Energy-efficient and long-lasting. Adjustable height and brightness settings. Perfect for low-light areas or supplemental lighting. Promotes healthy growth year-round.",Full-spectrum LED grow light for indoor plants,,LGL-001,,,,,,,Energy-efficient with adjustable height and brightness settings.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Bamboo Plant Stakes,bamboo-plant-stakes,45,80,Accessories,"Natural bamboo plant stakes for supporting tall plants. Set of 5 stakes in various lengths. Eco-friendly and biodegradable. Perfect for training climbing plants or supporting heavy stems.",Natural bamboo plant stakes - Set of 5,,BPS-001,,,,,,,Eco-friendly biodegradable support for climbing plants.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5bmixed,50,45,cmckboyge0002jvywtw6jw2i4,"Beautiful rosette-forming Echeveria in various colors including pink, purple, and blue-green. These compact succulents are perfect for arrangements and container gardens. Low-maintenance and drought-tolerant.",Colorful rosette succulents perfect for arrangements,,ECH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright light maintains colors. Water at soil level to avoid leaf rot.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Haworthia,haworthia,60,30,cmckboyge0002jvywtw6jw2i4,"Haworthia species form attractive small rosettes with interesting textures and patterns. These compact succulents are perfect for bright windowsills and require minimal care. Many varieties available.",Small rosette succulents with interesting patterns,,HAW-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright indirect light preferred. Water sparingly in winter.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Pearls,string-of-pearls,75,25,cmckboyge0002jvywtw6jw2i4,"String of Pearls (Senecio rowleyanus) produces cascading stems of bead-like leaves. This unique trailing succulent is perfect for hanging baskets and adds interesting texture to succulent displays.",Cascading succulent with bead-like leaves,,SOP-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Hanging display preferred. Allow soil to dry completely between waterings.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Hearts,string-of-hearts,85,20,cmckboyge0002jvywtw6jw2i4,"String of Hearts (Ceropegia woodii) features heart-shaped leaves on trailing stems. This charming succulent is perfect for hanging displays and is surprisingly easy to propagate from cuttings.",Heart-shaped leaves on trailing stems,,SOH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Bright light enhances pink coloration. Tubers form along stems.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Barrel Cactus,barrel-cactus,65,25,cmckboyge0002jvywtw6jw2i4,"The classic Barrel Cactus (Echinocactus) forms a perfect sphere covered in prominent spines. This slow-growing cactus requires minimal care and adds architectural interest to succulent collections.",Classic spherical cactus with prominent spines,,BC-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Full sun essential. Water very sparingly in winter.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Prickly Pear,prickly-pear,55,30,cmckboyge0002jvywtw6jw2i4,"Prickly Pear Cactus (Opuntia) forms flat paddle-shaped segments and produces colorful flowers. This hardy cactus is extremely drought-tolerant and perfect for xeriscaping.",Hardy cactus with flat paddle segments,,PP-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,MODERATE,Extremely drought tolerant. Handle with care due to spines.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Christmas Cactus,christmas-cactus,75,20,cmckboyge0002jvywtw6jw2i4,"Christmas Cactus (Schlumbergera) produces beautiful flowers in winter. Unlike desert cacti, this forest cactus prefers some humidity and indirect light. Perfect for holiday decorating.",Winter-flowering cactus perfect for holidays,,CC-001,EASY,MEDIUM,WEEKLY,false,SMALL,SLOW,Unlike desert cacti - prefers humidity and regular watering.,true,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Gasteria Ox Tongue,gasteria-ox-tongue,75,25,cmckboyge0002jvywtw6jw2i4,"Gasteria (Ox Tongue) is a South African indigenous succulent with thick, tongue-shaped leaves marked with white spots. Very hardy and perfect for shaded succulent gardens.",South African indigenous succulent for shade,,GT-001,EASY,MEDIUM,MONTHLY,false,SMALL,SLOW,Tolerates more shade than most succulents. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Lithops Living Stones,lithops-living-stones,105,15,cmckboyge0002jvywtw6jw2i4,"Lithops (Living Stones) are fascinating succulents that mimic stones. These unique plants flower annually and require special care with distinct dry and growing seasons. Perfect for succulent enthusiasts.",Fascinating stone-mimicking succulents,,LIT-001,ADVANCED,BRIGHT,MONTHLY,false,SMALL,SLOW,Complex watering cycle. Dry period essential for survival.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Ceramic Pot Small,ceramic-pot-small,65,50,cmckboygf0003jvywjrx5rryq,"Small ceramic pot perfect for desk plants and small spaces. Features drainage hole and saucer. Available in neutral colors that complement any décor. Durable ceramic construction ensures long-lasting use.",Small ceramic pot with drainage hole,,CP-001,,,,,,,High-quality ceramic construction with proper drainage.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Medium,ceramic-pot-medium,85,40,cmckboygf0003jvywjrx5rryq,"Medium ceramic pot ideal for most houseplants. Features modern design with drainage system. Perfect size for statement plants while fitting on most surfaces. Quality glazed finish resists fading.",Medium ceramic pot for houseplants,,CP-002,,,,,,,Includes saucer for surface protection.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Large,ceramic-pot-large,115,25,cmckboygf0003jvywjrx5rryq,"Large ceramic pot for floor plants and statement pieces. Premium glazed finish with excellent drainage. Perfect for larger plants like Monsteras and Fiddle Leaf Figs. Heavy-duty construction.",Large ceramic pot for floor plants,,CP-003,,,,,,,Premium quality with excellent drainage system.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Terracotta Pot Small,terracotta-pot-small,40,60,cmckboygf0003jvywjrx5rryq,"Classic terracotta pot perfect for herbs and small plants. Natural clay material provides excellent drainage and breathability. Traditional style that never goes out of fashion. Ideal for Mediterranean plants.",Classic terracotta pot for herbs,,TP-001,,,,,,,Natural clay promotes healthy root growth.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Terracotta Pot Medium,terracotta-pot-medium,60,45,cmckboygf0003jvywjrx5rryq,"Medium terracotta pot with natural clay finish. Excellent for plants that prefer well-draining soil. Weather-resistant and suitable for indoor or outdoor use. Timeless design complements any garden style.",Medium terracotta pot for indoor/outdoor use,,TP-002,,,,,,,Weather-resistant natural clay construction.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Terracotta Pot Large,terracotta-pot-large,85,30,cmckboygf0003jvywjrx5rryq,"Large terracotta pot for substantial plants. Natural clay construction with excellent drainage properties. Perfect for outdoor herb gardens or large indoor plants. Develops beautiful patina over time.",Large terracotta pot for substantial plants,,TP-003,,,,,,,Develops natural patina with age and use.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Hanging Macrame Planter,hanging-macrame-planter,85,35,cmckboygf0003jvywjrx5rryq,"Handcrafted macrame plant hanger perfect for trailing plants. Made from natural cotton rope with adjustable length. Adds bohemian style to any space while showcasing your plants beautifully.",Handcrafted macrame plant hanger,,MP-001,,,,,,,Natural cotton rope with adjustable hanging length.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Self-Watering Pot Medium,self-watering-pot-medium,165,20,cmckboygf0003jvywjrx5rryq,"Innovative self-watering pot with built-in reservoir. Perfect for busy plant parents or frequent travelers. Water indicator shows when refilling is needed. Maintains optimal moisture levels automatically.",Self-watering pot with reservoir system,,SW-001,,,,,,,Built-in water level indicator for easy monitoring.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Self-Watering Pot Large,self-watering-pot-large,235,15,cmckboygf0003jvywjrx5rryq,"Large self-watering pot for bigger plants. Advanced water reservoir system ensures consistent moisture. Ideal for thirsty plants or when you're away. Modern design complements contemporary interiors.",Large self-watering pot for bigger plants,,SW-002,,,,,,,Advanced reservoir system for consistent moisture.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Decorative Basket Small,decorative-basket-small,115,30,cmckboygf0003jvywjrx5rryq,"Natural woven basket perfect for plant displays. Water-resistant liner protects surfaces. Adds texture and warmth to any room. Versatile design works with various plant sizes and décor styles.",Natural woven basket with water-resistant liner,,DB-001,,,,,,,Water-resistant liner protects furniture surfaces.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Decorative Basket Large,decorative-basket-large,185,20,cmckboygf0003jvywjrx5rryq,"Large decorative basket for floor plants. Handwoven natural materials with protective liner. Perfect for hiding plastic pots while adding organic texture. Sustainable and eco-friendly choice.",Large decorative basket for floor plants,,DB-002,,,,,,,Handwoven from sustainable natural materials.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Potting Soil Premium,potting-soil-premium,65,100,cmckboygf0003jvywjrx5rryq,"Premium potting mix formulated for indoor plants. Contains perlite for drainage and organic matter for nutrition. Sterile and pest-free. Perfect pH balance for most houseplants. 5L bag provides excellent value.",Premium indoor plant potting mix - 5L,,PS-001,,,,,,,Sterile and pest-free with perfect pH balance.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Succulent Soil Mix,succulent-soil-mix,75,80,cmckboygf0003jvywjrx5rryq,"Specialized soil mix for succulents and cacti. Fast-draining formula prevents root rot. Contains sand and perlite for optimal drainage. Pre-mixed and ready to use. Essential for succulent health.",Fast-draining succulent and cacti soil mix - 5L,,SS-001,,,,,,,Fast-draining formula prevents root rot in succulents.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Liquid Fertilizer,liquid-fertilizer,85,60,cmckboygf0003jvywjrx5rryq,"Balanced liquid fertilizer for all houseplants. Easy-to-use formula promotes healthy growth and vibrant foliage. Dilute with water for monthly feeding. Suitable for all plant types. 500ml bottle.",Balanced liquid plant fertilizer - 500ml,,LF-001,,,,,,,Promotes healthy growth and vibrant foliage color.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Growth Hormone,growth-hormone,115,40,cmckboygf0003jvywjrx5rryq,"Rooting hormone for plant propagation. Encourages faster root development in cuttings. Perfect for expanding your plant collection. Professional-grade formula used by nurseries. 100ml bottle.",Rooting hormone for plant propagation - 100ml,,GH-001,,,,,,,Professional-grade formula for faster root development.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Neem Oil Organic,neem-oil-organic,95,50,cmckboygf0003jvywjrx5rryq,"Organic neem oil for natural pest control. Safe for indoor use and effective against common plant pests. Concentrated formula - dilute before use. Chemical-free alternative for plant health. 250ml bottle.",Organic neem oil pest control - 250ml,,NO-001,,,,,,,Chemical-free natural pest control solution.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Plant Food Sticks,plant-food-sticks,55,70,cmckboygf0003jvywjrx5rryq,"Convenient plant food sticks for easy feeding. Slow-release formula provides nutrients for up to 8 weeks. Simply insert into soil near roots. Perfect for busy plant parents. Pack of 10 sticks.",Slow-release plant food sticks - Pack of 10,,PFS-001,,,,,,,Slow-release formula feeds plants for up to 8 weeks.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Copper Watering Can,copper-watering-can,115,25,cmckboygf0003jvywjrx5rryq,"Elegant copper watering can with 1L capacity. Beautiful patina finish that develops character over time. Comfortable handle and perfect spout for precise watering. Functional art for plant lovers.",Elegant copper watering can - 1L capacity,,CWC-001,,,,,,,Beautiful patina finish develops character over time.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Steel Watering Can,steel-watering-can,135,20,cmckboygf0003jvywjrx5rryq,"Durable steel watering can with powder-coated finish. Rust-resistant and long-lasting. Ergonomic design with comfortable grip. Fine-nose spout for gentle watering. Professional quality for serious gardeners.",Durable steel watering can with powder coating,,SWC-001,,,,,,,Rust-resistant with ergonomic comfortable grip design.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Pruning Shears Professional,pruning-shears-professional,135,30,cmckboygf0003jvywjrx5rryq,"Professional-grade pruning shears with sharp stainless steel blades. Comfortable ergonomic handles reduce hand fatigue. Perfect for precise cuts on stems up to 2cm diameter. Essential tool for plant care.",Professional pruning shears with stainless steel blades,,PSP-001,,,,,,,Sharp stainless steel blades for precise clean cuts.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Brass,plant-mister-brass,85,40,cmckboygf0003jvywjrx5rryq,"Elegant brass plant mister for humidity-loving plants. Fine mist spray perfect for tropical plants and air plants. Stylish addition to your plant care routine. Easy-squeeze trigger mechanism.",Elegant brass plant mister for humidity,,PMB-001,,,,,,,Fine mist spray ideal for tropical and air plants.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Plant Mister Copper,plant-mister-copper,95,35,cmckboygf0003jvywjrx5rryq,"Beautiful copper plant mister with vintage appeal. Creates fine mist for leaf cleaning and humidity. Develops natural patina over time. Perfect for orchids, ferns, and tropical plants.",Beautiful copper plant mister with vintage appeal,,PMC-001,,,,,,,Develops natural patina and creates perfect fine mist.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Soil Moisture Meter,soil-moisture-meter,155,25,cmckboygf0003jvywjrx5rryq,"Digital soil moisture meter for accurate watering. Takes guesswork out of plant care. Easy-to-read LCD display shows moisture levels. Battery-powered with auto-shutoff. Essential for plant health.",Digital soil moisture meter with LCD display,,SMM-001,,,,,,,Accurate digital readings eliminate watering guesswork.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
LED Grow Light,led-grow-light,485,15,cmckboygf0003jvywjrx5rryq,"Full-spectrum LED grow light for indoor plants. Energy-efficient and long-lasting. Adjustable height and brightness settings. Perfect for low-light areas or supplemental lighting. Promotes healthy growth year-round.",Full-spectrum LED grow light for indoor plants,,LGL-001,,,,,,,Energy-efficient with adjustable height and brightness settings.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Bamboo Plant Stakes,bamboo-plant-stakes,45,80,cmckboygf0003jvywjrx5rryq,"Natural bamboo plant stakes for supporting tall plants. Set of 5 stakes in various lengths. Eco-friendly and biodegradable. Perfect for training climbing plants or supporting heavy stems.",Natural bamboo plant stakes - Set of 5,,BPS-001,,,,,,,Eco-friendly biodegradable support for climbing plants.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
